step,loss,lr,tok_s,vram_mb,CrossEntropy,RouterAuxLoss,RouterZLoss,Total
39,8.656874656677246,5.9999999999999995e-05,4983,1919.159296,8.43709945678711,0.21709497272968292,0.0026795014273375273,8.656874656677246
40,8.593499183654785,6.149999999999999e-05,5026,1918.441984,8.379472732543945,0.21134662628173828,0.002679432276636362,8.593499183654785
41,8.584357261657715,6.299999999999999e-05,5066,1918.957568,8.367180824279785,0.21449628472328186,0.002679449738934636,8.584357261657715
42,8.684539794921875,6.45e-05,5105,1920.556032,8.466976165771484,0.21488423645496368,0.0026795146986842155,8.684539794921875
43,8.55324935913086,6.599999999999999e-05,5143,1919.705088,8.312472343444824,0.23809508979320526,0.0026815698947757483,8.55324935913086
44,8.574578285217285,6.75e-05,5180,1918.147584,8.351228713989258,0.22067005932331085,0.0026797091122716665,8.574578285217285
45,8.539647102355957,6.9e-05,5215,1918.278656,8.32670783996582,0.21025998890399933,0.002679217141121626,8.539647102355957
46,8.587390899658203,7.049999999999999e-05,5250,1921.063936,8.369661331176758,0.21505092084407806,0.002679206198081374,8.587390899658203
47,8.377554893493652,7.199999999999999e-05,5282,1920.075776,8.156749725341797,0.21812677383422852,0.0026791300624608994,8.377554893493652
48,8.54602336883545,7.35e-05,5312,1918.934016,8.327470779418945,0.21587403118610382,0.002679221099242568,8.54602336883545
49,8.453697204589844,7.5e-05,5343,1918.009344,8.236003875732422,0.21501393616199493,0.0026798697654157877,8.453697204589844
50,8.490062713623047,7.649999999999999e-05,5374,1917.419008,8.266491889953613,0.22089147567749023,0.002679966390132904,8.490062713623047
51,8.449475288391113,7.8e-05,5405,1918.770176,8.232807159423828,0.21398836374282837,0.0026796660386025906,8.449475288391113
52,8.362445831298828,7.95e-05,5434,1918.835712,8.147146224975586,0.21261943876743317,0.002680019475519657,8.362445831298828
53,8.096290588378906,8.1e-05,5464,1919.43424,7.8670573234558105,0.22655299305915833,0.0026800876948982477,8.096290588378906
54,8.273303031921387,8.25e-05,5492,1918.08,8.05459213256836,0.21602964401245117,0.0026806623209267855,8.273303031921387
55,8.197724342346191,8.4e-05,5520,1918.508032,7.980874061584473,0.21417008340358734,0.0026802108623087406,8.197724342346191
56,8.157276153564453,8.549999999999999e-05,5545,1917.453824,7.945583343505859,0.20901305973529816,0.002680037636309862,8.157276153564453
57,8.131032943725586,8.699999999999999e-05,5569,1918.81216,7.912809371948242,0.2155437022447586,0.002680299337953329,8.131032943725586
58,8.296248435974121,8.849999999999998e-05,5593,1917.606912,8.082155227661133,0.21141238510608673,0.002680384088307619,8.296248435974121
59,8.010791778564453,8.999999999999999e-05,5618,1917.606912,7.79831600189209,0.20979565382003784,0.0026800946798175573,8.010791778564453
60,7.974039077758789,9.149999999999999e-05,5640,1916.88192,7.7554931640625,0.21586501598358154,0.0026806830428540707,7.974039077758789
61,8.123194694519043,9.3e-05,5663,1917.502976,7.900565147399902,0.21994838118553162,0.002681182697415352,8.123194694519043
62,8.149310111999512,9.449999999999999e-05,5686,1919.54688,7.92061185836792,0.22601856291294098,0.002679776167497039,8.149310111999512
63,8.3859224319458,9.599999999999999e-05,5709,1918.803968,8.157683372497559,0.22555939853191376,0.0026801498606801033,8.3859224319458
64,7.848508358001709,9.75e-05,5731,1919.7184,7.6216511726379395,0.22417576611042023,0.0026811244897544384,7.848508358001709
65,8.069992065429688,9.9e-05,5754,1920.059392,7.844325542449951,0.22298568487167358,0.0026810839772224426,8.069992065429688
66,8.0104341506958,0.0001005,5772,1920.275456,7.790942668914795,0.21681062877178192,0.002680586650967598,8.0104341506958
67,8.313799858093262,0.000102,5791,1920.522752,8.079950332641602,0.23116739094257355,0.002682193648070097,8.313799858093262
68,7.91370964050293,0.00010349999999999998,5811,1920.58624,7.680363178253174,0.2306637465953827,0.002682709600776434,7.91370964050293
69,7.7375006675720215,0.00010499999999999999,5832,1920.623104,7.513901710510254,0.22091592848300934,0.002683124039322138,7.7375006675720215
70,7.741073131561279,0.00010649999999999999,5851,1919.982592,7.522491931915283,0.21589946746826172,0.0026814977172762156,7.741073131561279
71,7.7585015296936035,0.00010799999999999998,5870,1922.91328,7.535687446594238,0.22013142704963684,0.0026825377717614174,7.7585015296936035
72,7.904893398284912,0.00010949999999999999,5889,1922.849792,7.670542240142822,0.2316674441099167,0.002683816710487008,7.904893398284912
73,8.14284896850586,0.00011099999999999999,5907,1922.852352,7.918070316314697,0.22209575772285461,0.0026825943496078253,8.14284896850586
74,7.731149196624756,0.0001125,5926,1921.506304,7.481874942779541,0.24659116566181183,0.002683004131540656,7.731149196624756
75,8.06098747253418,0.00011399999999999999,5944,1920.818176,7.8270487785339355,0.23125670850276947,0.002681903773918748,8.06098747253418
76,7.795346736907959,0.00011549999999999999,5960,1922.700288,7.560535907745361,0.23212504386901855,0.002686161547899246,7.795346736907959
77,7.811202049255371,0.000117,5977,1919.893504,7.578845024108887,0.22967369854450226,0.0026830576825886965,7.811202049255371
78,7.728466987609863,0.0001185,5992,1918.818816,7.493415355682373,0.23237007856369019,0.0026816013269126415,7.728466987609863
79,7.769397735595703,0.00011999999999999999,6007,1920.305664,7.512831211090088,0.25387975573539734,0.0026869638822972775,7.769397735595703
80,7.9548258781433105,0.0001215,6021,1919.115776,7.717696189880371,0.23444458842277527,0.0026848420966416597,7.9548258781433105
81,7.805037975311279,0.00012299999999999998,6037,1918.568448,7.543548583984375,0.2588057518005371,0.0026837342884391546,7.805037975311279
82,7.678199291229248,0.0001245,6052,1920.621056,7.450713634490967,0.22480055689811707,0.002684912644326687,7.678199291229248
83,7.724768161773682,0.00012599999999999997,6067,1918.442496,7.488720417022705,0.23336364328861237,0.002684215782210231,7.724768161773682
84,7.644313335418701,0.00012749999999999998,6081,1917.932544,7.408207416534424,0.23342257738113403,0.0026832150761038065,7.644313335418701
85,7.669086456298828,0.000129,6095,1917.77024,7.4528303146362305,0.21357189118862152,0.0026840013451874256,7.669086456298828
86,7.482550621032715,0.0001305,6109,1918.81216,7.255953311920166,0.2239123284816742,0.0026851401198655367,7.482550621032715
87,7.816933631896973,0.00013199999999999998,6123,1919.27296,7.578690528869629,0.23555518686771393,0.0026877354830503464,7.816933631896973
88,7.4989013671875,0.0001335,6137,1918.901248,7.239142894744873,0.25707387924194336,0.0026847294066101313,7.4989013671875
89,7.541126251220703,0.000135,6151,1918.746624,7.312047481536865,0.2263912409543991,0.002687328727915883,7.541126251220703
90,7.530139923095703,0.00013649999999999998,6163,1919.683584,7.31028413772583,0.2171681970357895,0.0026873662136495113,7.530139923095703
91,7.466235637664795,0.000138,6175,1915.971584,7.230449676513672,0.2330990880727768,0.002687137806788087,7.466235637664795
92,7.535428047180176,0.0001395,6187,1919.081472,7.274245738983154,0.2584981620311737,0.0026842260267585516,7.535428047180176
93,7.418395519256592,0.00014099999999999998,6198,1920.165888,7.177565574645996,0.2381407916545868,0.0026894521433860064,7.418395519256592
